Date,x1,x2,x3,x4,x5,x6
11/15/2023,562.6,572,571,557,557,556
11/16/2023,567.6,581,572,571,557,557
11/17/2023,572.8,583,581,572,571,557
11/20/2023,577.4,580,583,581,572,571
11/21/2023,578.6,577,580,583,581,572
11/22/2023,581.2,585,577,580,583,581
11/23/2023,580.4,577,585,577,580,583
11/24/2023,579.4,578,577,585,577,580
11/27/2023,578.4,575,578,577,585,577
11/28/2023,576.6,568,575,578,577,585
11/29/2023,574.6,575,568,575,578,577
11/30/2023,574,574,575,568,575,578
12/01/2023,573.8,577,574,575,568,575
12/04/2023,574.6,579,577,574,575,568
12/05/2023,575.8,574,579,577,574,575
12/06/2023,574.8,570,574,579,577,574
12/07/2023,574,570,570,574,579,577
12/08/2023,571.8,566,570,570,574,579
12/11/2023,570,570,566,570,570,574
12/12/2023,570,574,570,566,570,570
12/13/2023,571.6,578,574,570,566,570
12/14/2023,573,577,578,574,570,566
12/15/2023,576.2,582,577,578,574,570
12/18/2023,579.2,585,582,577,578,574
12/19/2023,581.4,585,585,582,577,578
12/20/2023,582.8,585,585,585,582,577
12/21/2023,584.4,585,585,585,585,582
12/22/2023,583.4,577,585,585,585,585
12/25/2023,582.8,582,577,585,585,585
12/26/2023,582,581,582,577,585,585
12/27/2023,582.2,586,581,582,577,585
12/28/2023,583.6,592,586,581,582,577
12/29/2023,586.8,593,592,586,581,582
01/02/2024,589,593,593,592,586,581
01/03/2024,591.4,593,593,593,592,586
01/04/2024,589.8,578,593,593,593,592
01/05/2024,587.4,580,578,593,593,593
01/08/2024,584,576,580,578,593,593
01/09/2024,582,583,576,580,578,593
01/10/2024,580.6,586,583,576,580,578
01/11/2024,581.8,584,586,583,576,580
01/12/2024,583,586,584,586,583,576
01/15/2024,584.6,584,586,584,586,583
01/16/2024,585.2,586,584,586,584,586
01/17/2024,584,580,586,584,586,584
01/18/2024,583.4,581,580,586,584,586
01/19/2024,583.8,588,581,580,586,584
01/22/2024,592.2,626,588,581,580,586
01/23/2024,600.2,626,626,588,581,580
01/24/2024,609.8,628,626,626,588,581
01/25/2024,619,627,628,626,626,588
01/26/2024,629.8,642,627,628,626,626
01/29/2024,633.4,644,642,627,628,626
01/30/2024,637.8,648,644,642,627,628
01/31/2024,640.6,642,648,644,642,627
02/01/2024,640.8,628,642,648,644,642
02/02/2024,638,628,628,642,648,644
02/05/2024,636.2,635,628,628,642,648
02/15/2024,635.8,646,635,628,628,642
02/16/2024,646.8,697,646,635,628,628
02/19/2024,657.8,683,697,646,635,628
02/20/2024,667.8,678,683,697,646,635
02/21/2024,678.2,687,678,683,697,646
02/22/2024,685.2,681,687,678,683,697
02/23/2024,684.2,692,681,687,678,683
02/26/2024,687,697,692,681,687,678
02/27/2024,691,698,697,692,681,687
02/29/2024,693.2,698,698,697,692,681
03/01/2024,695,690,698,698,697,692
03/04/2024,694.4,689,690,698,698,697
03/05/2024,700,725,689,690,698,698
03/06/2024,706.4,730,725,689,690,698
03/07/2024,713.8,735,730,725,689,690
03/08/2024,727.8,760,735,730,725,689
03/11/2024,746.8,784,760,735,730,725
03/12/2024,755,766,784,760,735,730
03/13/2024,763,770,766,784,760,735
03/14/2024,771.8,779,770,766,784,760
03/15/2024,776.6,784,779,770,766,784
03/18/2024,770.4,753,784,779,770,766
03/19/2024,770,764,753,784,779,770
03/20/2024,768.4,762,764,753,784,779
03/21/2024,764.2,758,762,764,753,784
03/22/2024,764.2,784,758,762,764,753
03/25/2024,770.6,785,784,758,762,764
03/26/2024,773.8,780,785,784,758,762
03/27/2024,777.8,782,780,785,784,758
03/28/2024,782,779,782,780,785,784
03/29/2024,779,769,779,782,780,785
04/01/2024,777.8,779,769,779,782,780
04/02/2024,775.8,770,779,769,779,782
04/03/2024,777.4,790,770,779,769,779
04/08/2024,777.6,780,790,770,779,769
04/09/2024,780.4,783,780,790,770,779
04/10/2024,788.4,819,783,780,790,770
04/11/2024,797.4,815,819,783,780,790
04/12/2024,803.4,820,815,819,783,780
04/15/2024,811,818,820,815,819,783
04/16/2024,815.6,806,818,820,815,819
04/17/2024,809.4,788,806,818,820,815
04/18/2024,807.2,804,788,806,818,820
04/19/2024,804,804,804,788,806,818
04/22/2024,790.4,750,804,804,788,806
04/23/2024,777.6,742,750,804,804,788
04/24/2024,770.8,754,742,750,804,804
04/25/2024,766.6,783,754,742,750,804
04/26/2024,759,766,783,754,742,750
04/29/2024,765.4,782,766,783,754,742
04/30/2024,776,795,782,766,783,754
05/02/2024,783.2,790,795,782,766,783
05/03/2024,781,772,790,795,782,766
05/06/2024,783.8,780,772,790,795,782
05/07/2024,784.6,786,780,772,790,795
05/08/2024,785.6,800,786,780,772,790
05/09/2024,788,802,800,786,780,772
05/10/2024,792.8,796,802,800,786,780
05/13/2024,797.2,802,796,802,800,786
05/14/2024,803.8,819,802,796,802,800
05/15/2024,808.8,825,819,802,796,802
05/16/2024,816.2,839,825,819,802,796
05/17/2024,825.2,841,839,825,819,802
05/20/2024,831.8,835,841,839,825,819
05/21/2024,835,835,835,841,839,825
05/22/2024,838.2,841,835,835,841,839
05/23/2024,843.2,864,841,835,835,841
05/24/2024,850,875,864,841,835,835
05/27/2024,856.4,867,875,864,841,835
05/28/2024,863.2,869,867,875,864,841
05/29/2024,868,865,869,867,875,864
05/30/2024,866.6,857,865,869,867,875
05/31/2024,859.2,838,857,865,869,867
06/03/2024,850,821,838,857,865,869
06/04/2024,845.4,846,821,838,857,865
06/05/2024,840.2,839,846,821,838,857
06/06/2024,839.6,854,839,846,821,838
06/07/2024,850.8,894,854,839,846,821
06/11/2024,862.4,879,894,854,839,846
06/12/2024,869.8,883,879,894,854,839
06/13/2024,883.8,909,883,879,894,854
06/14/2024,896.8,919,909,883,879,894
06/17/2024,902.4,922,919,909,883,879
06/18/2024,910.8,921,922,919,909,883
06/19/2024,922.8,943,921,922,919,909
06/20/2024,937.2,981,943,921,922,919
06/21/2024,949.6,981,981,943,921,922
06/24/2024,959.2,970,981,981,943,921
06/25/2024,963,940,970,981,981,943
06/26/2024,963.4,945,940,970,981,981
